,pairs,p_values
0,"('AADR', 'AAXJ')",0.031684144520079005
1,"('AADR', 'AFTY')",0.04059804895779207
2,"('AADR', 'ASHR')",0.03052775110654714
3,"('AADR', 'BIB')",0.013545238555355213
4,"('AADR', 'CHAU')",0.012592933448185283
5,"('AADR', 'CHIM')",0.009174476683210848
6,"('AADR', 'DBGR')",0.012122152193413302
7,"('AADR', 'DBJP')",0.00211006763934391
8,"('AADR', 'DXJ')",0.02305955530129343
9,"('AADR', 'EWJ')",0.015382858193715473
10,"('AADR', 'EZJ')",0.027138721483876808
11,"('AADR', 'HEWJ')",0.005869816188523386
12,"('AADR', 'INCO')",0.04056537765922397
13,"('AADR', 'JNUG')",0.01725069616846089
14,"('AADR', 'JPXN')",0.003428865512184365
15,"('AAXJ', 'AFTY')",0.020448756273157367
16,"('AAXJ', 'BBC')",0.007927845991169396
17,"('AAXJ', 'BBP')",0.01001232282156017
18,"('AAXJ', 'BIB')",0.002587362210996353
19,"('AAXJ', 'BICK')",0.01870022434370708
20,"('AAXJ', 'DBEM')",0.02494298082465393
21,"('AAXJ', 'DBGR')",0.04642582406008384
22,"('AAXJ', 'DBJP')",0.01289880067018033
23,"('AAXJ', 'DEEF')",0.03942364741435224
24,"('AAXJ', 'EWGS')",0.022459812952783813
25,"('AAXJ', 'EWJ')",0.005749127985937607
26,"('AAXJ', 'HEWG')",0.04636202472049976
27,"('AAXJ', 'HEWJ')",0.018392044094548973
28,"('AAXJ', 'IBB')",0.01751871722964297
29,"('AAXJ', 'IPAC')",0.024381469199686045
30,"('AAXJ', 'JNUG')",0.017783475969695175
31,"('AAXJ', 'JPXN')",0.00032332047411681345
32,"('ACWF', 'AIRR')",0.03314908305393926
33,"('ACWF', 'BIB')",0.005013593059295786
34,"('ACWF', 'DBGR')",0.03454953444633137
35,"('ACWF', 'DBJP')",0.0005436281728763296
36,"('ACWF', 'DGT')",0.02018375962602636
37,"('ACWF', 'EWJ')",0.018461162751062812
38,"('ACWF', 'EXI')",0.04802157101375958
39,"('ACWF', 'FIDU')",0.03296938804439938
40,"('ACWF', 'HAWX')",0.004690140148875878
41,"('ACWF', 'HEWJ')",4.8841675108990116e-05
42,"('ACWF', 'HSCZ')",0.017337211992717
43,"('ACWF', 'INCO')",0.024101092388781987
44,"('ACWF', 'INDA')",0.025431326964287546
45,"('ACWF', 'INDY')",0.020060631743838302
46,"('ACWF', 'IYT')",0.04044208780829158
47,"('ACWF', 'JNUG')",0.010896558724825292
48,"('ACWF', 'JPXN')",0.0032560855663273636
49,"('ACWI', 'BBH')",0.04046620952957621
50,"('ACWI', 'BIB')",0.000997432349149944
51,"('ACWI', 'CFO')",0.005299276027528713
52,"('ACWI', 'CURE')",0.019261838332098324
53,"('ACWI', 'DWAS')",0.0018483280522434377
54,"('ACWI', 'EFU')",0.04084130103017027
55,"('ACWI', 'EPV')",0.022644076661543455
56,"('ACWI', 'EWV')",0.037435299928889776
57,"('ACWI', 'FAZ')",0.046126661898178406
58,"('ACWI', 'FIW')",0.04971579036492572
59,"('ACWI', 'FV')",0.01627581451015706
60,"('ACWI', 'HEWJ')",0.04128697798590848
61,"('ACWI', 'IBB')",0.007693916755154121
62,"('ACWI', 'IHDG')",0.04689787614344771
63,"('ACWI', 'IJK')",0.020838340460005596
64,"('ACWI', 'ISRA')",0.042821506221203606
65,"('ACWI', 'ITB')",0.03225652382295607
66,"('ACWI', 'IVOG')",0.016707123104472008
67,"('ACWI', 'IYJ')",0.008832259261413327
68,"('ACWI', 'JNUG')",0.011636321225478754
69,"('ACWI', 'KLDW')",0.013174384102109454
70,"('ACWI', 'MDYG')",0.027370871897864104
71,"('ACWV', 'BIB')",0.013876287295444253
72,"('ACWV', 'CIBR')",0.04201161536039387
73,"('ACWV', 'CURE')",0.03579968579223163
74,"('ACWV', 'DEF')",0.033388400118415255
75,"('ACWV', 'DOG')",0.038208424806542664
76,"('ACWV', 'DXD')",0.03564342806627612
77,"('ACWV', 'EWM')",0.023949219922136437
78,"('ACWV', 'FAZ')",0.0489969373807561
79,"('ACWV', 'FTCS')",0.03854197932316698
80,"('ACWV', 'IDU')",0.023218033435388637
81,"('ACWV', 'IEZ')",0.049014666197500494
82,"('ACWV', 'IGV')",0.046755180870419945
83,"('ACWV', 'IHDG')",0.047399908539372926
84,"('ACWV', 'IHI')",0.00924719254868266
85,"('ACWV', 'JNUG')",0.013066551454061931
86,"('ACWV', 'JXI')",0.026293554750007737
87,"('ACWV', 'LGLV')",0.04829808333394536
88,"('ACWV', 'MLPA')",0.046823532118778925
89,"('ACWX', 'BIB')",0.014532586036966883
90,"('ACWX', 'CHII')",0.026688189420012946
91,"('ACWX', 'CHIM')",0.017987133850141616
92,"('ACWX', 'CWI')",4.463511078712674e-05
93,"('ACWX', 'DBGR')",0.046910607401161486
94,"('ACWX', 'DBJP')",0.003048169133160013
95,"('ACWX', 'DEEF')",0.00033406561718675774
96,"('ACWX', 'DGRE')",0.010504193479394805
97,"('ACWX', 'DXGE')",0.036014645162148376
98,"('ACWX', 'DXJ')",0.01567939264934547
