,pairs,p_values
0,"('AADR', 'BBH')",0.011977548170812057
1,"('AADR', 'BIB')",0.028286474372459444
2,"('AADR', 'BIS')",0.030594621196176463
3,"('AADR', 'CHAD')",0.043589069097253304
4,"('AADR', 'CID')",0.024685250384831117
5,"('AADR', 'CIL')",0.0016567851931660051
6,"('AADR', 'CIZ')",0.02837139705788974
7,"('AADR', 'DFE')",0.0006083686609330352
8,"('AADR', 'DIM')",0.016035478088363215
9,"('AADR', 'DWM')",0.03794749135395053
10,"('AADR', 'DWX')",0.011839426006578991
11,"('AADR', 'EDEN')",0.011271811589898467
12,"('AADR', 'EFAD')",0.018304718964597847
13,"('AADR', 'EFAV')",0.035846612197928604
14,"('AADR', 'FBT')",0.049781878399949145
15,"('AADR', 'FCOM')",0.04423119688359927
16,"('AADR', 'FGD')",0.0048273158107718424
17,"('AADR', 'FGM')",0.01551352530109165
18,"('AADR', 'FID')",0.0027237011535624946
19,"('AADR', 'FKU')",0.046259819268697135
20,"('AADR', 'IBB')",0.023022062582904627
21,"('AADR', 'IDLB')",0.01614383489230575
22,"('AADR', 'IDV')",0.03598656977532149
23,"('AADR', 'IQDY')",0.03493876490304241
24,"('AADR', 'NFRA')",0.025299614125281457
25,"('AADR', 'PBE')",0.02027072752970024
26,"('AADR', 'PEX')",0.02540050788584022
27,"('AADR', 'PTH')",0.039088024943600495
28,"('AADR', 'RODM')",0.009692463431570885
29,"('AADR', 'TUR')",0.0003071452632986002
30,"('AADR', 'VOX')",0.04582364809946408
31,"('AADR', 'WBIF')",0.0019986999614428538
32,"('AADR', 'WDIV')",0.04322856443771349
33,"('AAXJ', 'ADRE')",0.010050656984891718
34,"('AAXJ', 'AFK')",0.036266660129463626
35,"('AAXJ', 'ARKG')",0.03903848554052359
36,"('AAXJ', 'ARKK')",0.030013488677222633
37,"('AAXJ', 'CDL')",0.04673665218637118
38,"('AAXJ', 'CHIQ')",0.01303397445931471
39,"('AAXJ', 'CQQQ')",0.0016059216057489692
40,"('AAXJ', 'DBEM')",0.012998946235980146
41,"('AAXJ', 'ECNS')",0.03296770869895584
42,"('AAXJ', 'EMQQ')",0.03786486494516294
43,"('AAXJ', 'EPP')",0.02599914068993144
44,"('AAXJ', 'FDN')",0.012376471343454471
45,"('AAXJ', 'FPA')",0.03993577149558335
46,"('AAXJ', 'FXG')",0.043063908081032415
47,"('AAXJ', 'FXI')",0.036444554970577976
48,"('AAXJ', 'GXC')",0.009676804762010695
49,"('AAXJ', 'HEEM')",0.03303077696942773
50,"('AAXJ', 'HEWU')",0.03830732703720372
51,"('AAXJ', 'INTF')",0.042524079279285004
52,"('AAXJ', 'IPKW')",0.04247276738226488
53,"('AAXJ', 'IPOS')",0.04569400277116191
54,"('AAXJ', 'ITA')",0.03218746258979818
55,"('AAXJ', 'KWEB')",0.026547717772978804
56,"('AAXJ', 'MCHI')",0.008848777953379678
57,"('AAXJ', 'NGE')",0.0009378424553595764
58,"('AAXJ', 'PAK')",0.02743911004422656
59,"('AAXJ', 'PBJ')",0.026402657242356475
60,"('AAXJ', 'PGJ')",0.004319530239404293
61,"('AAXJ', 'PNQI')",0.019780608639110648
62,"('AAXJ', 'PSCH')",0.036093732681352644
63,"('AAXJ', 'PSJ')",0.01112920706010012
64,"('AAXJ', 'PWV')",0.042846289794683245
65,"('AAXJ', 'SOCL')",0.032358887013405675
66,"('AAXJ', 'TDIV')",0.04720924278076554
67,"('AAXJ', 'TUR')",0.04551806773734758
68,"('AAXJ', 'VIDI')",0.042989115863615694
69,"('AAXJ', 'VNM')",0.04483005228643943
70,"('AAXJ', 'XCEM')",0.028985682519711797
71,"('AAXJ', 'XPH')",0.006377405405254703
72,"('AAXJ', 'XPP')",0.007826494107604295
73,"('AAXJ', 'YINN')",0.005426868306553081
74,"('ACWF', 'ACWV')",0.007974721041500184
75,"('ACWF', 'CURE')",0.005589250348360221
76,"('ACWF', 'DNL')",6.327806446530461e-05
77,"('ACWF', 'DXGE')",0.026377243027449288
78,"('ACWF', 'EUDV')",0.026925473242471187
79,"('ACWF', 'EWL')",0.037623888685634696
80,"('ACWF', 'FHLC')",0.00034365202916903753
81,"('ACWF', 'FSZ')",0.000488620841124913
82,"('ACWF', 'FUTY')",0.02615209860270698
83,"('ACWF', 'FXU')",0.019942747325250375
84,"('ACWF', 'IDU')",0.020807643482323907
85,"('ACWF', 'IHDG')",0.029568845563782472
86,"('ACWF', 'IHE')",0.00020618001042290368
87,"('ACWF', 'IXJ')",0.001233427899279591
88,"('ACWF', 'IYH')",0.001675106512919342
89,"('ACWF', 'JXI')",0.007032932068514986
90,"('ACWF', 'KXI')",0.039484498016417645
91,"('ACWF', 'OEUR')",0.010859694031102811
92,"('ACWF', 'PIO')",0.0010682260617588684
93,"('ACWF', 'PIZ')",0.010025288103055776
94,"('ACWF', 'PJP')",0.023983990714006764
95,"('ACWF', 'PPH')",0.0023977074966021654
96,"('ACWF', 'PUI')",0.019449899234700443
97,"('ACWF', 'RXD')",0.006726835403398036
98,"('ACWF', 'RXL')",0.0011101106213290428
99,"('ACWF', 'RYH')",0.022694608299549487
100,"('ACWF', 'RYU')",0.023336772161918342
101,"('ACWF', 'UPW')",0.030297826592531853
102,"('ACWF', 'VHT')",0.00047299043369266924
103,"('ACWF', 'VPU')",0.020305631506154824
104,"('ACWF', 'XLU')",0.02443882728728047
105,"('ACWF', 'XLV')",0.006028023914693048
106,"('ACWI', 'CIBR')",0.03795084749647114
107,"('ACWI', 'CRBN')",1.0057856384722118e-05
108,"('ACWI', 'CSB')",0.017115962903101193
109,"('ACWI', 'CSF')",0.01617602635755079
110,"('ACWI', 'DES')",0.01644909571615948
111,"('ACWI', 'DGRS')",0.0028528916818387914
112,"('ACWI', 'DON')",0.02113221256725467
113,"('ACWI', 'EQAL')",0.03885109997749504
