,pair,data,sharpe
0,"[('ADRE', 'LABU')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.245384
2021-12-28    1.245384
2021-12-29    1.245384
2021-12-30    1.245384
2021-12-31    1.245384
Name: cum_rets, Length: 1511, dtype: float64",0.5016382506500321
1,"[('AFK', 'GDX')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.135243
2021-12-28    1.135243
2021-12-29    1.135243
2021-12-30    1.135243
2021-12-31    1.135243
Name: cum_rets, Length: 1511, dtype: float64",0.5026850597213397
2,"[('AMJ', 'GDXJ')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.258544
2021-12-28    1.258544
2021-12-29    1.258544
2021-12-30    1.258544
2021-12-31    1.258544
Name: cum_rets, Length: 1511, dtype: float64",0.7090902140071313
3,"[('AMJ', 'MLPO')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.384321
2021-12-28    1.368122
2021-12-29    1.369455
2021-12-30    1.372367
2021-12-31    1.369975
Name: cum_rets, Length: 1511, dtype: float64",0.808684808308323
4,"[('AMLP', 'GDX')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.276287
2021-12-28    1.276287
2021-12-29    1.276287
2021-12-30    1.276287
2021-12-31    1.276287
Name: cum_rets, Length: 1511, dtype: float64",0.8198337310378296
5,"[('AMLP', 'MLPO')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.299991
2021-12-28    1.284504
2021-12-29    1.284769
2021-12-30    1.287968
2021-12-31    1.285769
Name: cum_rets, Length: 1511, dtype: float64",0.6465396540090272
6,"[('AMUB', 'MLPO')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.384269
2021-12-28    1.368305
2021-12-29    1.368845
2021-12-30    1.371851
2021-12-31    1.369026
Name: cum_rets, Length: 1511, dtype: float64",0.8384056553256362
7,"[('ARGT', 'LABU')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.350856
2021-12-28    1.350856
2021-12-29    1.350856
2021-12-30    1.350856
2021-12-31    1.350856
Name: cum_rets, Length: 1511, dtype: float64",0.7229033181145561
8,"[('ARKQ', 'EWV')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.184667
2021-12-28    1.184667
2021-12-29    1.184667
2021-12-30    1.184667
2021-12-31    1.184667
Name: cum_rets, Length: 1511, dtype: float64",0.5002867519765543
9,"[('ARKW', 'LABD')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.300428
2021-12-28    1.300428
2021-12-29    1.300428
2021-12-30    1.300428
2021-12-31    1.300428
Name: cum_rets, Length: 1511, dtype: float64",0.5573160124660014
10,"[('ASEA', 'GDX')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.152515
2021-12-28    1.152515
2021-12-29    1.152515
2021-12-30    1.152515
2021-12-31    1.150676
Name: cum_rets, Length: 1511, dtype: float64",0.5048842895679607
11,"[('ASEA', 'GDXJ')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.172102
2021-12-28    1.172102
2021-12-29    1.172102
2021-12-30    1.172102
2021-12-31    1.170131
Name: cum_rets, Length: 1511, dtype: float64",0.5269449931585417
12,"[('ASEA', 'GOEX')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.197716
2021-12-28    1.197716
2021-12-29    1.197716
2021-12-30    1.197716
2021-12-31    1.197716
Name: cum_rets, Length: 1511, dtype: float64",0.53037408772879
13,"[('ATMP', 'GDXJ')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.335059
2021-12-28    1.335059
2021-12-29    1.335059
2021-12-30    1.335059
2021-12-31    1.335059
Name: cum_rets, Length: 1511, dtype: float64",0.9249327186574333
14,"[('ATMP', 'MLPO')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.307013
2021-12-28    1.291524
2021-12-29    1.291975
2021-12-30    1.295703
2021-12-31    1.293392
Name: cum_rets, Length: 1511, dtype: float64",0.6743706140713773
15,"[('BBH', 'BZQ')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.262223
2021-12-28    1.262223
2021-12-29    1.262223
2021-12-30    1.262223
2021-12-31    1.262223
Name: cum_rets, Length: 1511, dtype: float64",0.5426512711801428
16,"[('BBH', 'DUST')]","Date
2016-01-04        NaN
2016-01-05    1.00000
2016-01-06    1.00000
2016-01-07    1.00000
2016-01-08    1.00000
               ...   
2021-12-27    1.30725
2021-12-28    1.30725
2021-12-29    1.30725
2021-12-30    1.30725
2021-12-31    1.30725
Name: cum_rets, Length: 1511, dtype: float64",0.601856824495475
17,"[('BBP', 'EWV')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.172602
2021-12-28    1.172602
2021-12-29    1.172602
2021-12-30    1.172602
2021-12-31    1.172602
Name: cum_rets, Length: 1511, dtype: float64",0.5539043571947159
18,"[('BIB', 'CHIQ')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.121164
2021-12-28    1.120962
2021-12-29    1.117698
2021-12-30    1.125606
2021-12-31    1.125606
Name: cum_rets, Length: 1511, dtype: float64",0.6421394716615683
19,"[('BIB', 'DUST')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.380365
2021-12-28    1.380365
2021-12-29    1.380365
2021-12-30    1.380365
2021-12-31    1.380365
Name: cum_rets, Length: 1511, dtype: float64",0.6940078200509173
20,"[('BIB', 'EWV')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.246706
2021-12-28    1.246706
2021-12-29    1.246706
2021-12-30    1.246706
2021-12-31    1.246706
Name: cum_rets, Length: 1511, dtype: float64",0.5842816284166872
21,"[('BIS', 'DUST')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.284563
2021-12-28    1.284563
2021-12-29    1.284563
2021-12-30    1.284563
2021-12-31    1.284563
Name: cum_rets, Length: 1511, dtype: float64",0.6200003216133041
22,"[('BIS', 'FIW')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.284059
2021-12-28    1.284059
2021-12-29    1.284059
2021-12-30    1.284059
2021-12-31    1.284059
Name: cum_rets, Length: 1511, dtype: float64",0.8358218315180763
23,"[('BIS', 'FTEC')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.375607
2021-12-28    1.375607
2021-12-29    1.375607
2021-12-30    1.375607
2021-12-31    1.375607
Name: cum_rets, Length: 1511, dtype: float64",1.046337597727105
24,"[('BIS', 'FXH')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.346509
2021-12-28    1.346509
2021-12-29    1.346509
2021-12-30    1.346509
2021-12-31    1.346509
Name: cum_rets, Length: 1511, dtype: float64",1.0266882403287314
25,"[('BIS', 'FXL')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.364928
2021-12-28    1.364928
2021-12-29    1.364928
2021-12-30    1.364928
2021-12-31    1.364928
Name: cum_rets, Length: 1511, dtype: float64",1.030642540026325
26,"[('BIS', 'IBB')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.344963
2021-12-28    1.344963
2021-12-29    1.344963
2021-12-30    1.344963
2021-12-31    1.344963
Name: cum_rets, Length: 1511, dtype: float64",1.0035634304090284
27,"[('BIS', 'IGM')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.308967
2021-12-28    1.308967
2021-12-29    1.308967
2021-12-30    1.308967
2021-12-31    1.308967
Name: cum_rets, Length: 1511, dtype: float64",0.9445566788147047
28,"[('BIS', 'ILCG')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.351294
2021-12-28    1.351294
2021-12-29    1.351294
2021-12-30    1.351294
2021-12-31    1.351294
Name: cum_rets, Length: 1511, dtype: float64",0.982246355645264
29,"[('BIS', 'IMCG')]","Date
2016-01-04        NaN
2016-01-05    1.00000
2016-01-06    1.00000
2016-01-07    1.00000
2016-01-08    1.00000
               ...   
2021-12-27    1.26177
2021-12-28    1.26177
2021-12-29    1.26177
2021-12-30    1.26177
2021-12-31    1.26177
Name: cum_rets, Length: 1511, dtype: float64",0.7413378311010389
