,pair,data,sharpe
0,"[('AADR', 'AAXJ')]","Date
2016-01-04    NaN
2016-01-05    1.0
2016-01-06    1.0
2016-01-07    1.0
2016-01-08    1.0
             ... 
2021-12-27    1.0
2021-12-28    1.0
2021-12-29    1.0
2021-12-30    1.0
2021-12-31    1.0
Name: cum_rets, Length: 1511, dtype: float64",0.0
1,"[('AADR', 'AFTY')]","Date
2016-01-04        NaN
2016-01-05    1.00000
2016-01-06    1.00000
2016-01-07    1.00000
2016-01-08    1.00000
               ...   
2021-12-27    1.00341
2021-12-28    1.00341
2021-12-29    1.00341
2021-12-30    1.00341
2021-12-31    1.00341
Name: cum_rets, Length: 1511, dtype: float64",0.1495714126724989
2,"[('AADR', 'ASHR')]","Date
2016-01-04    NaN
2016-01-05    1.0
2016-01-06    1.0
2016-01-07    1.0
2016-01-08    1.0
             ... 
2021-12-27    1.0
2021-12-28    1.0
2021-12-29    1.0
2021-12-30    1.0
2021-12-31    1.0
Name: cum_rets, Length: 1511, dtype: float64",0.0
3,"[('AADR', 'BIB')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.008845
2021-12-28    1.008845
2021-12-29    1.008845
2021-12-30    1.008845
2021-12-31    1.008845
Name: cum_rets, Length: 1511, dtype: float64",0.26969705385553333
4,"[('AADR', 'CHAU')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.068115
2021-12-28    1.068115
2021-12-29    1.068115
2021-12-30    1.068115
2021-12-31    1.068115
Name: cum_rets, Length: 1511, dtype: float64",0.22976374379252995
5,"[('AADR', 'CHIM')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    0.977234
2021-12-28    0.977234
2021-12-29    0.977234
2021-12-30    0.977234
2021-12-31    0.977234
Name: cum_rets, Length: 1511, dtype: float64",-0.1783457790023029
6,"[('AADR', 'DBGR')]","Date
2016-01-04    NaN
2016-01-05    1.0
2016-01-06    1.0
2016-01-07    1.0
2016-01-08    1.0
             ... 
2021-12-27    1.0
2021-12-28    1.0
2021-12-29    1.0
2021-12-30    1.0
2021-12-31    1.0
Name: cum_rets, Length: 1511, dtype: float64",0.0
7,"[('AADR', 'DBJP')]","Date
2016-01-04    NaN
2016-01-05    1.0
2016-01-06    1.0
2016-01-07    1.0
2016-01-08    1.0
             ... 
2021-12-27    1.0
2021-12-28    1.0
2021-12-29    1.0
2021-12-30    1.0
2021-12-31    1.0
Name: cum_rets, Length: 1511, dtype: float64",0.0
8,"[('AADR', 'DXJ')]","Date
2016-01-04    NaN
2016-01-05    1.0
2016-01-06    1.0
2016-01-07    1.0
2016-01-08    1.0
             ... 
2021-12-27    1.0
2021-12-28    1.0
2021-12-29    1.0
2021-12-30    1.0
2021-12-31    1.0
Name: cum_rets, Length: 1511, dtype: float64",0.0
9,"[('AADR', 'EWJ')]","Date
2016-01-04    NaN
2016-01-05    1.0
2016-01-06    1.0
2016-01-07    1.0
2016-01-08    1.0
             ... 
2021-12-27    1.0
2021-12-28    1.0
2021-12-29    1.0
2021-12-30    1.0
2021-12-31    1.0
Name: cum_rets, Length: 1511, dtype: float64",0.0
10,"[('AADR', 'EZJ')]","Date
2016-01-04    NaN
2016-01-05    1.0
2016-01-06    1.0
2016-01-07    1.0
2016-01-08    1.0
             ... 
2021-12-27    1.0
2021-12-28    1.0
2021-12-29    1.0
2021-12-30    1.0
2021-12-31    1.0
Name: cum_rets, Length: 1511, dtype: float64",0.0
11,"[('AADR', 'HEWJ')]","Date
2016-01-04    NaN
2016-01-05    1.0
2016-01-06    1.0
2016-01-07    1.0
2016-01-08    1.0
             ... 
2021-12-27    1.0
2021-12-28    1.0
2021-12-29    1.0
2021-12-30    1.0
2021-12-31    1.0
Name: cum_rets, Length: 1511, dtype: float64",0.0
12,"[('AADR', 'INCO')]","Date
2016-01-04    NaN
2016-01-05    1.0
2016-01-06    1.0
2016-01-07    1.0
2016-01-08    1.0
             ... 
2021-12-27    1.0
2021-12-28    1.0
2021-12-29    1.0
2021-12-30    1.0
2021-12-31    1.0
Name: cum_rets, Length: 1511, dtype: float64",0.0
13,"[('AADR', 'JNUG')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.141453
2021-12-28    1.141453
2021-12-29    1.141453
2021-12-30    1.141453
2021-12-31    1.141453
Name: cum_rets, Length: 1511, dtype: float64",0.21705778445452584
14,"[('AADR', 'JPXN')]","Date
2016-01-04    NaN
2016-01-05    1.0
2016-01-06    1.0
2016-01-07    1.0
2016-01-08    1.0
             ... 
2021-12-27    1.0
2021-12-28    1.0
2021-12-29    1.0
2021-12-30    1.0
2021-12-31    1.0
Name: cum_rets, Length: 1511, dtype: float64",0.0
15,"[('AAXJ', 'AFTY')]","Date
2016-01-04    NaN
2016-01-05    1.0
2016-01-06    1.0
2016-01-07    1.0
2016-01-08    1.0
             ... 
2021-12-27    1.0
2021-12-28    1.0
2021-12-29    1.0
2021-12-30    1.0
2021-12-31    1.0
Name: cum_rets, Length: 1511, dtype: float64",0.0
16,"[('AAXJ', 'BBC')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    0.955196
2021-12-28    0.955196
2021-12-29    0.955196
2021-12-30    0.955196
2021-12-31    0.955196
Name: cum_rets, Length: 1511, dtype: float64",-0.39275645725861175
17,"[('AAXJ', 'BBP')]","Date
2016-01-04    NaN
2016-01-05    1.0
2016-01-06    1.0
2016-01-07    1.0
2016-01-08    1.0
             ... 
2021-12-27    1.0
2021-12-28    1.0
2021-12-29    1.0
2021-12-30    1.0
2021-12-31    1.0
Name: cum_rets, Length: 1511, dtype: float64",0.0
18,"[('AAXJ', 'BIB')]","Date
2016-01-04    NaN
2016-01-05    1.0
2016-01-06    1.0
2016-01-07    1.0
2016-01-08    1.0
             ... 
2021-12-27    1.0
2021-12-28    1.0
2021-12-29    1.0
2021-12-30    1.0
2021-12-31    1.0
Name: cum_rets, Length: 1511, dtype: float64",0.0
19,"[('AAXJ', 'BICK')]","Date
2016-01-04    NaN
2016-01-05    1.0
2016-01-06    1.0
2016-01-07    1.0
2016-01-08    1.0
             ... 
2021-12-27    1.0
2021-12-28    1.0
2021-12-29    1.0
2021-12-30    1.0
2021-12-31    1.0
Name: cum_rets, Length: 1511, dtype: float64",0.0
20,"[('AAXJ', 'DBEM')]","Date
2016-01-04    NaN
2016-01-05    1.0
2016-01-06    1.0
2016-01-07    1.0
2016-01-08    1.0
             ... 
2021-12-27    1.0
2021-12-28    1.0
2021-12-29    1.0
2021-12-30    1.0
2021-12-31    1.0
Name: cum_rets, Length: 1511, dtype: float64",0.0
21,"[('AAXJ', 'DBGR')]","Date
2016-01-04    NaN
2016-01-05    1.0
2016-01-06    1.0
2016-01-07    1.0
2016-01-08    1.0
             ... 
2021-12-27    1.0
2021-12-28    1.0
2021-12-29    1.0
2021-12-30    1.0
2021-12-31    1.0
Name: cum_rets, Length: 1511, dtype: float64",0.0
22,"[('AAXJ', 'DBJP')]","Date
2016-01-04    NaN
2016-01-05    1.0
2016-01-06    1.0
2016-01-07    1.0
2016-01-08    1.0
             ... 
2021-12-27    1.0
2021-12-28    1.0
2021-12-29    1.0
2021-12-30    1.0
2021-12-31    1.0
Name: cum_rets, Length: 1511, dtype: float64",0.0
23,"[('AAXJ', 'DEEF')]","Date
2016-01-04    NaN
2016-01-05    1.0
2016-01-06    1.0
2016-01-07    1.0
2016-01-08    1.0
             ... 
2021-12-27    1.0
2021-12-28    1.0
2021-12-29    1.0
2021-12-30    1.0
2021-12-31    1.0
Name: cum_rets, Length: 1511, dtype: float64",0.0
24,"[('AAXJ', 'EWGS')]","Date
2016-01-04    NaN
2016-01-05    1.0
2016-01-06    1.0
2016-01-07    1.0
2016-01-08    1.0
             ... 
2021-12-27    1.0
2021-12-28    1.0
2021-12-29    1.0
2021-12-30    1.0
2021-12-31    1.0
Name: cum_rets, Length: 1511, dtype: float64",0.0
